text,sentiment_polarity,emotion,emotional_tone,intent,formality,is_sarcastic,is_toxic,has_hidden_agenda
"What a joke. This airline is the worst I've ever flown with. The flight was delayed by 4 hours with no explanation, the seats were filthy, and the staff were incredibly rude. I am never giving them my money again.",Negative,Anger,Passionate,To Complain,Informal,No,No,No
"Considering the socio-economic implications, what are the potential long-term consequences of implementing a universal basic income on a national scale?",Neutral,Neutral,Formal,To Question,Formal,No,No,No
"I can't believe it's finally over. After all these years, graduating feels so surreal. I'm just so happy and grateful for everyone who supported me along the way. This is the best day of my life!",Positive,Joy,Passionate,To Congratulate,Informal,No,No,No
The ending of that series was a complete letdown. It felt like the writers just gave up. I invested so much time in those characters for it to end like that. Just... sad.,Negative,Sadness,Calm,To Express Opinion,Informal,No,No,No
"Oh great, another 'innovative' feature that nobody asked for. This new software update is just brilliant at making simple tasks ten times more complicated. Peak design, truly.",Negative,Anger,Humorous,To Complain,Slang,Yes,No,No
"You are without a doubt the most incompetent fool I've ever had the displeasure of dealing with. Your arguments are pathetic and you're a disgrace to this discussion. Get a clue, you idiot.",Negative,Anger,Passionate,To Threaten,Slang,No,Yes,No
That's not what happened at the meeting at all. You're completely misremembering my stance on the budget cuts. You always get so emotional and exaggerate things. I was actually defending your department.,Negative,Neutral,Calm,To Persuade,Informal,No,Yes,Yes
"OMG that movie's plot twist was INSANE! My jaw was on the floor for a solid ten minutes. You absolutely have to see it, it will blow your mind!",Positive,Surprise,Passionate,To Entertain,Informal,No,No,No
Trying to assemble this IKEA bookshelf is like trying to solve a Rubik's cube in the dark. The instructions are just a series of cryptic symbols and I'm pretty sure I have more screws left over than I actually used.,Negative,Sadness,Pessimistic,To Express Opinion,Informal,No,No,No
Sources inside the government have confirmed that the recent global political summit was just a cover for a secret society meeting that controls the world's finances. They don't want you to know the truth!,Negative,Surprise,Urgent,To Inform,Informal,No,No,Yes
"The so-called 'opposition party' is merely a tool for foreign interests, designed to weaken our nation from within by promoting divisive ideologies under the guise of progress.",Negative,Neutral,Formal,To Inform,Formal,No,No,Yes
Those people are the reason our country is failing. Their beliefs are backwards and they are holding all of us back from true progress. They shouldn't be allowed to have a voice.,Negative,Anger,Passionate,To Threaten,Informal,No,Yes,No
Enna oru frustrating experience intha online banking portal la. Simple transaction panna kooda mudila. It keeps logging me out. Romba mosam.,Negative,Anger,Passionate,To Complain,Informal,No,No,No
I'm so incredibly happy for you! Hearing about your promotion made my entire week. You've worked so hard for this and you deserve every bit of it. Time to celebrate!,Positive,Joy,Passionate,To Congratulate,Informal,No,No,No
"Yaar, the traffic is just unbearable today. It feels like the entire city is on this one road. I've moved about 10 feet in the last 20 minutes. This is just torture.",Negative,Anger,Pessimistic,To Express Opinion,Informal,No,No,No
"What a spectacular goal in the final minutes! The stadium just erupted! That's why we love this game, for moments of pure magic like this!",Positive,Surprise,Passionate,To Entertain,Informal,No,No,No
I heard they're putting microchips in the new electric vehicles to track your every move for insurance companies. My cousin's friend who works in a garage saw the schematics. Don't fall for the 'green' agenda.,Negative,Surprise,Urgent,To Inform,Informal,No,No,Yes
"You're a disgusting human being for supporting that political candidate. I hope something terrible happens to you and your entire family, you worthless piece of trash.",Negative,Anger,Passionate,To Threaten,Slang,No,Yes,No
"I was struggling with my skin for years, and then I discovered 'Glow-Up Serum'. My acne cleared up in just a week! It's made with all-natural ingredients and feels amazing. You should definitely give it a try.",Positive,Joy,Casual,To Persuade,Informal,No,No,Yes
I don't think I said that about the project deadline. You must have misunderstood me. I was very clear in my email. Perhaps you should read it again more carefully.,Negative,Neutral,Calm,To Persuade,Informal,No,Yes,Yes
"Oh, another brilliant move by our city council. This new public park design is a masterpiece of wasted space and concrete. So much green, I'm overwhelmed.",Negative,Anger,Humorous,To Complain,Slang,Yes,No,No
The way they handled the series finale was just... empty. I feel a bit lost now that it's over. It's a shame it had to end on such a quiet note.,Negative,Sadness,Calm,To Express Opinion,Informal,No,No,No
"The proposed legislation is not about public safety; it's a thinly veiled attempt to curtail civil liberties and expand government surveillance, benefiting only the ruling elite.",Negative,Neutral,Formal,To Inform,Formal,No,No,Yes
"People from that area are all the same. They're lazy and uneducated, and they're ruining our city. They should all just go back to where they came from.",Negative,Anger,Passionate,To Threaten,Informal,No,Yes,No
To what extent has the proliferation of social media platforms influenced the nature of contemporary political discourse and civic engagement?,Neutral,Neutral,Formal,To Question,Formal,No,No,No
"This new AI is absolutely mind-blowing! The art it generates is more creative than anything I've ever seen. We are living in the future, right now!",Positive,Surprise,Passionate,To Entertain,Informal,No,No,No
"Learning a new language is like climbing a mountain that gets taller with every step. You see the peak, but you never seem to get any closer.",Negative,Sadness,Pessimistic,To Express Opinion,Informal,No,No,No
CONGRATULATIONS on adopting your new puppy! He is the cutest thing I have ever seen. You're going to be the best pet parent ever!,Positive,Joy,Passionate,To Congratulate,Informal,No,No,No
"My online shopping return has been a nightmare. I've been on hold for 45 minutes, and their website just gives me an error message. I'm so done with this company.",Negative,Anger,Passionate,To Complain,Informal,No,No,No
"Bhai, this new Netflix series is just amazing! I binge-watched the whole thing in one night. The story is so good, you won't be able to stop.",Positive,Joy,Passionate,To Persuade,Informal,No,No,No
"Your opinion is completely worthless because you're obviously too stupid to understand the complexities of the stock market. Go back to playing with your toys, kid.",Negative,Anger,Passionate,To Threaten,Slang,No,Yes,No
"Wow, the customer service was just 'outstanding'. I really enjoyed being transferred to five different departments and having to explain my issue each time. So efficient.",Negative,Anger,Humorous,To Complain,Slang,Yes,No,No
"I'm not sure why you're so upset. I think you're overreacting to what I said about your presentation. It wasn't criticism, it was constructive feedback. You're being too sensitive.",Negative,Neutral,Calm,To Persuade,Informal,No,Yes,Yes
"This meal delivery service is a lifesaver! I've been eating delicious, healthy meals all week without any of the stress of cooking. The 'FreshFast' box has seriously improved my evenings.",Positive,Joy,Casual,To Persuade,Informal,No,No,Yes
The official story about that historical event is a complete fabrication designed to hide the involvement of powerful banking families. The evidence is all there if you just open your eyes and do your own research.,Negative,Surprise,Urgent,To Inform,Informal,No,No,Yes
"I just feel so defeated. I thought I did well in the interview, but getting that rejection email today really hurts. I don't know what I'm doing wrong.",Negative,Sadness,Calm,To Express Opinion,Informal,No,No,No
The narrative that our nation's economy is recovering is a statistical manipulation intended to pacify the public ahead of the upcoming election cycle.,Negative,Neutral,Formal,To Inform,Formal,No,No,Yes
What are the ethical considerations surrounding the use of artificial intelligence in autonomous weaponry systems and their potential impact on international law?,Neutral,Neutral,Formal,To Question,Formal,No,No,No
"Idhu enna comedy? Waiting for the bus for one hour, and three of them come at the same time. Super service pa. Chennai public transport is the best.",Negative,Anger,Humorous,To Complain,Slang,Yes,No,No
